count	type	name	props	nodeId
0	SET	pagination__atomic	Number:T State(5) Type(6) Size(2)	340:31025
0	SET	tab_bars__atomic__mo	Label:T Style(2) State(3)	4932:91874
0	SET	step_indicator__atomic	State(3) Last-item(2)	343:53442
0	SET	bottom_sheet__atomic	Type(2)	5120:3302
0	CMP	getting_started_guide		1161:24205
0	CMP	icon/pin		10941:74172
0	SET	container	Image:B Button:B Badge:B Size(3)	1530:57544
0	SET	calendar_header__atoimc	Label:T State(5)	343:51967
0	SET	calendar_d__atoimc	Date:T State(9)	343:51983
0	SET	swiper__atomic	Type(3) Arrow(2)	1029:33703
0	SET	list__atomic_bullet	unordered(2) Level(3)	324:52117
0	SET	tab__atomic	Label:T Type(2) State(5) Style(2)	340:31816
0	SET	tab_fill__atomic	Label:T State(5) Position(3)	1369:24481
0	SET	tab__atomic__mo	Label:T Type(1) State(5) Style(2)	1656:52217
0	SET	radio_button__sorting__atomic	State(4) Size(2)	1055:38347
0	SET	search__mo	Lable:T Advanced Search:B Label:B Alert:B ↪️Hint:T Size(2) State(4)	1482:27845
0	SET	상세조회	Property 1(2)	11430:99092
